x,y
2.490748189863234, 0.07989347536617844
2.9444891391794044, 0.07989347536617844
3.456154465004022, 0.085219707057257
3.9388576025744166, 0.07989347536617844
4.402252614641995, 0.07989347536617844
4.875301689460981, 0.06924101198402131
5.271118262268704, 0.06924101198402131
5.7055510860820595, 0.07456724367509987
6.053097345132743, 0.06924101198402131
6.458567980691874, 0.07456724367509987
6.902654867256636, 0.06924101198402131
7.327433628318584, 0.06924101198402131
7.684633950120675, 0.06924101198402131
8.061142397425582, 0.07456724367509987
8.447304907481898, 0.085219707057257
8.833467417538213, 0.10119840213049268
9.17135961383749, 0.19707057256990682
9.316170555108608, 0.4047936085219707
9.335478680611423, 0.644474034620506
9.3065164923572, 0.88948069241012
9.238938053097344, 1.1131824234354195
9.065164923572002, 1.3209054593874834
8.756234915526951, 1.4806924101198402
8.399034593724858, 1.5925432756324902
7.9549477071600965, 1.70439414114514
7.588093322606596, 1.77896138482024
7.211584875301689, 1.8428761651131826
6.7868061142397424, 1.9440745672436752
6.371681415929203, 2.034620505992011
6.0048270313757035, 2.1251664447403464
5.599356395816573, 2.2316910785619175
5.24215607401448, 2.33288948069241
4.981496379726468, 2.471371504660453
4.904263877715205, 2.6471371504660453
4.923572003218021, 2.833555259653795
5.010458567980692, 3.030625832223702
5.261464199517296, 3.201065246338216
5.522123893805309, 3.2649800266311586
5.888978278358809, 3.3395472703062588
6.255832662912309, 3.4247669773635154
6.651649235720032, 3.4833555259653797
7.008849557522123, 3.4513981358189083
6.999195494770715, 3.2649800266311586
6.806114239742558, 3.0732356857523304
6.670957361222848, 2.8868175765645807
6.873692679002413, 2.6950732356857525
7.327433628318584, 2.6790945406125166
7.703942075623491, 2.8761651131824237
7.935639581657281, 3.1158455392809588
8.215607401448109, 3.355525965379494
8.5728077232502, 3.488681757656458
8.9396621078037, 3.5952063914780297
9.296862429605792, 3.6697736351531294
9.702333065164924, 3.600532623169108
9.586484312148029, 3.382157123834887
9.316170555108608, 3.243675099866844
9.065164923572002, 3.094540612516645
8.843121480289621, 2.945406125166445
8.727272727272727, 2.737683089214381
8.71761866452132, 2.5246338215712387
8.80450522928399, 2.3541944074567245
9.007240547063555, 2.1837549933422107
9.34513274336283, 2.0505992010652463
9.683024939662108, 1.970705725699068
9.991954947707159, 1.9174434087882823
10.320193081255027, 1.8588548601864183
10.590506838294448, 1.8109187749667113
10.967015285599356, 1.752330226364847
11.31456154465004, 1.715046604527297
11.681415929203538, 1.77896138482024
11.874497184231696, 1.9973368841544608
11.932421560740144, 2.226364846870839
11.95172968624296, 2.51930758988016
11.797264682220433, 2.7802929427430096
11.604183427192275, 2.9880159786950733
11.430410297666935, 3.1691078561917445
11.208366854384552, 3.37150466045273
11.005631536604987, 3.5366178428761654
10.744971842316975, 3.7070572569906792
10.39742558326629, 3.845539280958722
10.07884151246983, 3.9360852197070577
9.683024939662108, 4.005326231691079
9.325824617860016, 4.015978695073236
8.920353982300885, 4.015978695073236
8.582461786001609, 4.010652463382157
8.263877715205147, 3.989347536617843
7.80048270313757, 3.989347536617843
7.3467417538214, 3.989347536617843
6.970233306516492, 3.9733688415446076
6.564762670957361, 3.952063914780293
6.1979082864038615, 3.9467376830892147
5.821399839098953, 3.8402130492676436
5.531777956556717, 3.7549933422103865
5.251810136765888, 3.664447403462051
4.952534191472244, 3.5845539280958723
4.682220434432823, 3.504660452729694
4.363636363636363, 3.40878828229028
4.054706355591311, 3.323568575233023
3.7554304102976666, 3.2330226364846872
3.485116653258246, 3.1424766977363516
3.1858407079646014, 3.057256990679095
2.896218825422365, 2.9773635153129163
2.6065969428801288, 2.8868175765645807
2.3073209975864843, 2.8175765645805595
1.9887369267900241, 2.7217043941411454
1.650844730490748, 2.63115845539281
1.3419147224456958, 2.5459387483355527
1.0426387771520513, 2.455392809587217
0.743362831858407, 2.3648468708388815
0.5213193885760257, 2.2743009320905463
0.28962188254223653, 2.157123834886818
0.09654062751407884, 1.9920106524633823
0.07723250201126307, 1.8109187749667113
0.28962188254223653, 1.677762982689747
0.6468222043443282, 1.6245006657789616
0.917135961383749, 1.5233022636484688
0.917135961383749, 1.3475366178428763
0.7819790828640386, 1.1824234354194407
0.6950925181013676, 0.9906790945406125
0.7240547063555912, 0.7936085219707057
0.8205953338696701, 0.6178428761651132
0.9557522123893805, 0.4687083888149135
1.1777956556717617, 0.28761651131824234
1.4770716009654061, 0.16511318242343542
1.911504424778761, 0.10119840213049268
2.490748189863234, 0.07989347536617844
